seed,severity,modality,regime,estimator,threshold,abstention_rate,coverage_defect,coverage_ok,roc_auc,pr_auc,brier,recall,precision,f1,escape_rate,overkill_rate,true_negative,false_positive,false_negative,true_positive
2024,1.0,process,inline,xgboost,0.015,0.2811188811188811,0.7527593818984547,0.9618320610687023,0.8296050081728258,0.9015027680827371,0.1788734535260703,1.0,0.6335664335664336,0.7756849315068494,0.0,1.0,0,262,0,453
2024,1.0,fusion,inline,xgboost,0.049999999999999996,0.0993006993006993,0.8896247240618101,0.9083969465648855,0.9982390509411389,0.9989935728538824,0.015256910854339294,0.9955849889624724,0.9356846473029046,0.9647058823529412,0.004415011037527594,0.1183206106870229,231,31,2,451
2024,1.5,vision,inline,xgboost,0.04,0.07692307692307693,0.9205298013245033,0.9045801526717557,0.9943969802672598,0.9969946462092695,0.026303300487100858,0.9977924944812362,0.8293577981651377,0.905811623246493,0.002207505518763797,0.3549618320610687,169,93,1,452
2024,1.5,process,inline,xgboost,0.015,0.2811188811188811,0.7527593818984547,0.9618320610687023,0.8296050081728258,0.9015027680827371,0.1788734535260703,1.0,0.6335664335664336,0.7756849315068494,0.0,1.0,0,262,0,453
2024,1.5,fusion,inline,xgboost,0.049999999999999996,0.1034965034965035,0.8675496688741722,0.916030534351145,0.9946834504490841,0.9969545549093678,0.025921330521443586,0.9977924944812362,0.889763779527559,0.9406867845993756,0.002207505518763797,0.21374045801526717,206,56,1,452
2024,2.0,vision,inline,xgboost,0.034999999999999996,0.03776223776223776,0.9050772626931567,0.8664122137404581,0.9705651888175522,0.9820640460910515,0.06209383082023263,0.9955849889624724,0.7381342062193126,0.8477443609022557,0.004415011037527594,0.6106870229007634,102,160,2,451
2024,2.0,process,inline,xgboost,0.015,0.2811188811188811,0.7527593818984547,0.9618320610687023,0.8296050081728258,0.9015027680827371,0.1788734535260703,1.0,0.6335664335664336,0.7756849315068494,0.0,1.0,0,262,0,453
2024,2.0,fusion,inline,xgboost,0.01,0.0979020979020979,0.8145695364238411,0.8931297709923665,0.9746473889085486,0.9841163435569367,0.06300557033717061,1.0,0.7426229508196721,0.852304797742239,0.0,0.5992366412213741,105,157,0,453
2024,3.0,vision,inline,xgboost,0.055,0.12027972027972028,0.8852097130242825,0.8702290076335878,0.915668233827073,0.9498130498887165,0.1141608803319946,1.0,0.6527377521613833,0.7898866608544028,0.0,0.9198473282442748,21,241,0,453
2024,3.0,process,inline,xgboost,0.015,0.2811188811188811,0.7527593818984547,0.9618320610687023,0.8296050081728258,0.9015027680827371,0.1788734535260703,1.0,0.6335664335664336,0.7756849315068494,0.0,1.0,0,262,0,453
2024,3.0,fusion,inline,xgboost,0.04,0.03776223776223776,0.7902869757174393,0.9541984732824428,0.9386406147313078,0.9641580154032567,0.10338576763604823,0.9955849889624724,0.7013996889580093,0.822992700729927,0.004415011037527594,0.732824427480916,70,192,2,451
